No.,Quantity,Name,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Price,Price * Quantity, per package Price ,Link
27,1,2 Wire to Board,DB301V-3.5-2P-GN-S,U6,CONN-TH_DB301V-3.5-2P-GN,,DB301V-3.5-2P-GN-S,DORABO(????),C695629,LCSC,"0,0139 €"," 0,0139 € ",,https://www.lcsc.com/product-detail/C695629.html
28,1,USB-C Connector,TYPE-C16PIN,USB1,USB-C-SMD_TYPE-C16PIN,,TYPE-C16PIN,SHOU HAN(??),C393939,LCSC,"0,0106 €"," 0,0106 € ",,https://www.lcsc.com/product-detail/C393939.html
29,5,PCB minus components,,,,,,,,,," 22,7300 € ",,https://jlcpcb.com
,,,,,,,,,,,,,,
30,18,Servo sg90,Buy x6 3PCS,,,,,,,,"1,3367 €"," 24,0600 € ","4,0100 €",https://de.aliexpress.com/item/1005007104370383.html
31,8,Light Resistors,Available in 10PCS,,,,,,,,"0,0870 €"," 0,6960 € ","0,8700 €",https://de.aliexpress.com/item/32966282692.html
32,24,M2 8mm Screw,Only Available in 50PCS,,,,,,,,"0,0330 €"," 0,7920 € "," 1,65 € ",https://de.aliexpress.com/item/1005002247282771.html
33,12,M2 10mm Screw,Only Available in 50PCS,,,,,,,,"0,0344 €"," 0,4128 € "," 1,72 € ",https://de.aliexpress.com/item/1005002247282771.html
34,36,M2 Nut,Only Available in 50PCS,,,,,,,,"0,0314"," 1,1304 € "," 1,57 € ",https://de.aliexpress.com/item/1005008314195033.html
35,16,Cables,For the Light Resistors,,,,,,,,"0,13 €"," 2,1120 € ","2,64 €",https://de.aliexpress.com/item/1005007046465880.html
36,1,4.8V 3000mAh Battery,,,,,,,,,"9,64 €"," 9,6400 € ","9,64 €",https://de.aliexpress.com/item/1005006690430909.html
,,,,,,,,,,,,,,
37,1,PLA Filament Spool,Choose your Color,,,,,,,,"15,43 €"," 15,4300 € ","15,43 €",https://www.amazon.com/dp/B0CD161SQR
,,,,,,,,,,,,,,
,,,JLCPCB Components,JLCPCB PCB (for 5),AliExpress,Amazon,,SubTotal,Total,Total (aliexpress new customer),," 77,0032 € ",,
,,," 2,1067 € "," 22,7300 € "," 42,1500 € "," 15,4300 € ",," 80,3100 € "," 105,2000 € "," 95,1100 € ",,,,
,,shipping,," 1,2900 € "," 13,6600 € "," 9,94 € ",," 24,8900 € ",,,,,,
,,new customer (total),,," 45,7200 € ",,," 45,72 € "," 45,72 € ",,,,,
,,,,,,,,,,,,,,
,Total," 105,2000 € ",,Total (aliexpress new customer)," 95,1100 € ",,,,,,,,,
